BRAND,OFFER,idx
BEYOND MEAT,"Beyond Meat Plant-Based products, spend 25",1
GOOD HUMOR,Good Humor Viennetta Frozen Vanilla Cake,2
BUTTERBALL,"Butterball, select varieties, spend 10 at Dillons Food Store",3
GATORADE,"GATORADE Fast Twitch, 12-ounce 12 pack, at Amazon Storefront",4
DR PEPPER,"Dr Pepper, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",6
BARILLA,Barilla Pesto Sauce,8
EGGLIFE,Egglife Egg White Wraps at Aldi,10
ZAXBYS,Spend 20 at Zaxbys,11
SUBWAY,Spend 10 at Subway,12
DOVE CHOCOLATE,"DOVE Chocolate, select sizes, buy 1",13
M&MS,"M&MS, select sizes, buy 1",15
GATORADE,"GATORLYTE OR GATORADE Fit Single Serve Bottle, select varieties, buy 2",16
RED GOLD,Red Gold Tomato Ketchup,18
GILLETTE VENUS,Gillette Venus  for Pubic Hair & Skin spend 20,19
SHAWS,Spend 140 at Shaws,20
SIMPLY SPIKED,Simply Spiked Lemonade 12 pack,22
GORTONS,"Gortons, at select retailers",23
ACME,Shop 2 times at ACME,24
BUTTERBALL,"Butterball, select varieties, spend 10 at Ralphs",25
BUTTERBALL,"Butterball, select varieties, Spend 10 at Ruler Foods",27
KFC,Spend 20 at KFC,28
NEKTER,Spend 15 at Nekter,29
ZAXBYS,Order online at Zaxbys.com,30
BUTTERBALL,"Butterball, select varieties, spend 10 at King Soopers",31
FLONASE,"Flonase Allergy Relief, at Walmart",34
KFC,Spend 25 at KFC,35
GORTONS,"Gortons Air Fried Butterfly Shrimp, at Walmart",36
CESAR,"CESAR Wet Dog Food, spend 20",37
TWIX,"TWIX, select sizes",38
M&MS,"M&MS chocolate candies, select varieties",39
HIDDEN VALLEY RANCH,"Hidden Valley Ranch Salad Dressing OR Secret Sauce, select varieties",40
RANDALLS,Spend 210 at Randalls,41
COOKED PERFECT,"Cooked Perfect Meatballs, at Walmart",42
PERFECT KETO,"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",44
CREATIVITY STREET,"Creativity Street, spend 10",45
CRUNCHMASTER,"Crunchmaster Crackers, spend 4",46
SUBWAY,Spend 25 at Subway,49
VONS,Any Vons receipt,50
CHOSEN FOODS,"Chosen Foods Mayo, select varieties",51
SHAWS,Spend 185 at Shaws,53
VONS,Spend 150 at Vons,54
