RETAILER,OFFER,idx
DILLONS FOOD STORE,"Butterball, select varieties, spend 10 at Dillons Food Store",3
AMAZON,"GATORADE Fast Twitch, 12-ounce 12 pack, at Amazon Storefront",4
WALMART,"Arnold, Brownberry, Oroweat Small Slice bread, at Walmart",7
ALDI,Egglife Egg White Wraps at Aldi,10
ZAXBYS,Spend 20 at Zaxbys,11
SUBWAY,Spend 10 at Subway,12
TARGET,"Beyond Steak Plant-Based seared tips, 10 ounce at Target",17
SHAWS,Spend 140 at Shaws,20
TARGET,"LOréal Paris Hair color, select varieties, spend 19 at Target",21
ACME,Shop 2 times at ACME,24
RALPHS,"Butterball, select varieties, spend 10 at Ralphs",25
H-E-B,"Beyond Steak Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",26
RULER FOODS,"Butterball, select varieties, Spend 10 at Ruler Foods",27
KFC,Spend 20 at KFC,28
ZAXBYS,Order online at Zaxbys.com,30
KING SOOPERS,"Butterball, select varieties, spend 10 at King Soopers",31
WALMART,"Flonase Allergy Relief, at Walmart",34
KFC,Spend 25 at KFC,35
WALMART,"Gortons Air Fried Butterfly Shrimp, at Walmart",36
RANDALLS,Spend 210 at Randalls,41
WALMART,"Cooked Perfect Meatballs, at Walmart",42
AMAZON,"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",44
SAMS CLUB,"Tyson Products, select varieties, spend 20 at Sams Club",47
TARGET,"LOréal Paris Makeup, spend 35 at Target",48
SUBWAY,Spend 25 at Subway,49
VONS,Any Vons receipt,50
WALMART,"LOréal Paris Men Expert hair color, spend 19 at Walmart",52
SHAWS,Spend 185 at Shaws,53
VONS,Spend 150 at Vons,54
AMAZON,"PepsiCo Beverage, 7.5-ounce 10 pack, select varieties, at Amazon Storefront",57
WALMART,"Sara Lee bread, select varieties, buy 2 at Walmart",58
WALMART,"Bai Antioxidant, 6 pack, buy 2 at Walmart",60
FRESH THYME MARKET,Spend 25 at Fresh Thyme Market,63
ALBERTSONS,Any Albertsons receipt,64
ALBERTSONS,Shop 2 times at Albertsons,65
WALMART,QUEEN V The VIP & The Wingwoman Soft Touch Silicone Vibrator at Walmart,67
TARGET,"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",68
TARGET,"Dove Hand Wash, select varieties, buy 2 at Target",69
ALBERTSONS,Spend 65 at Albertsons,73
AMAZON,"Welchs Zero Sugar Fruity Bites, 6 pack, online at Amazon",79
AMAZON,"PepsiCo Variety Pack, select varieties, at Amazon Storefront",80
VONS,Spend 100 at Vons,81
SUBWAY,Spend 15 at Subway,82
FRESH THYME,Spend 35 at Fresh Thyme Market,83
WALMART,"Back to the Roots Soils, select varieties and sizes, at Walmart",86
TOM THUMB,Spend 90 at Tom Thumb,89
WALMART,"Cooked Perfect Meatballs, Homestyle OR Turkey, at Walmart",92
WALMART,Little Bites Spend 10 at Walmart,97
TOM THUMB,Shop 2 times at Tom Thumb,99
WALMART,"Purex laundry detergent, select varieties, at Walmart",101
SAFEWAY,Shop 2 times at Safeway,103
SAMS CLUB,"Georges Farmers Market Chicken Wings, at Sams Club",107
WALMART,Country Crock Plant Based Butter at Walmart,111
AMAZON,"Perfect Keto Beauty  Sleep Collagen, online at Amazon",112
AMAZON,"Perfect Keto Bars, online at Amazon",115
WALMART,AleveX at Walmart,117
WALMART,"LOréal Paris Men Expert hair color, spend 9 at Walmart",120
FRED MEYER,"Butterball, select varieties, spend 10 at Fred Meyer",123
TGI FRIDAYS,Spend 60 at TGI Fridays,125
WALMART,"Artesano buns, buy 2 at Walmart",126
