BRAND,OFFER
HIDDEN VALLEY RANCH,"Hidden Valley Ranch Salad Dressing OR Secret Sauce, select varieties"
MCALISTERS DELI,"Sign up for McAlisters Deli Rewards, tap for details"
DICKEYS BARBECUE PIT,Spend 30 at Dickeys Barbecue Pit
PROMISED LAND DAIRY,"Promised Land Dairy Milk, 52-ounce"
BARILLA,"Barilla pasta, select varieties, buy 2"
BACK TO THE ROOTS,Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart
WESSON,Wesson Oil Products
TGI FRIDAYS,Spend 25 at TGI Fridays
SAFEWAY,Spend 115 at Safeway
CORE HYDRATION,"CORE Hydration, select varieties, at Walmart"
PERFECT KETO,"Perfect Keto Bars, online at Amazon"
LIFESAVERS,"LIFESAVERS, any size, buy 1"
ARBER,"Arber, at Walmart"
CESAR,CESAR Wet Dog Food Singles
RATIO,ratio KETO Friendly Cereal OR Granola
SNICKERS,"SNICKERS, select sizes, buy 1"
TOSTITOS,Tostitos Toppers
MARINELA,"Marinela sweet baked goods, buy 2"
KFC,Spend 40 at KFC
ALBERTSONS,Spend 220 at Albertsons
FRESH THYME MARKET,Spend 25 at Fresh Thyme Market
RAOS,"Michael Angelos OR Raos Frozen Entrees, spend 10"
SAFEWAY,Spend 210 at Safeway
BURGER KING,Spend 15 at Burger King
THOMAS,Thomas Bagel Thins
GATORADE,"GATORADE Fast Twitch, 12-ounce single serve"
THOMAS,"Thomas Bagel Thins, buy 2"
SARA LEE,"Sara Lee bread, select varieties, buy 2 at Walmart"
DOVE CHOCOLATE,"DOVE Chocolate, select sizes, buy 1"
GOYA,GOYA Coconut Water
ZAXBYS,Order online at Zaxbys.com
WONDERWORKS,Wonderworks Keto Friendly Cereal
FLONASE,"Flonase Allergy Relief, at Walmart"
GORTONS,Gortons at select retailers
CORE HYDRATION,"CORE Hydration, select varieties, buy 2 at Walmart"
SARGENTO,"Sargento Sliced Cheese, spend 12"
BACK TO THE ROOTS,Back to the Roots Grow Kits at Walmart or The Home Depot
WELCHS FRUIT SNACKS,"Welchs Fruit Snacks, select varieties, 6 count"
EGGLIFE,Egglife Egg White Wraps at Aldi
ENVY,Envy Apples pre-packed bags
ALBERTSONS,Any Albertsons receipt
EVOLVE,"EVOLVE Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods"
GILLETTE VENUS,Gillette Venus  for Pubic Hair & Skin
KFC,Spend 25 at KFC
WELCHS FRUIT SNACKS,"Welchs Fruit Snacks, select varieties, 6 count, buy 2"
BUTTERBALL,"Butterball, select varieties, spend 10 at Frys Food Store"
BUTTERBALL,"Butterball, select varieties, Spend 10 at Ruler Foods"
ENVY,"Envy Apples, pre-packed bags"
STARRY,"Starry Lemon Lime Soda multipacks, at Kroger"
PAVILIONS,Spend 270 at Pavilions
BURTS BEES,"Burts Bees Sensitive Lotions and Creams, select varieties, at Walmart"
KRADLE,"Kradle, select products, online at Chewy.com"
SUBWAY,Spend 35 at Subway
SIMPLY SPIKED,Simply Spiked Lemonade 12 pack
SKITTLES,"SKITTLES, select varieties"
M&MS,"M&MS, select sizes, buy 1"
SARA LEE,"Sara Lee Delightful bread, buy 2"
ALEVE,"Aleve products, select varieties, 80 count at Walmart"
PERFECT KETO,"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon"
STARBURST,"STARBURST, select sizes, buy 1"
BREYERS,"Breyers Reeses Ice Cream, select varieties, at GIANT OR MARTINS"
SNUGGLE,"Snuggle Liquid Fabric Softener, at Walmart"
VONS,Any Vons receipt
ACME,Any ACME receipt
GORTONS,"Gortons, at select retailers"
GLAD,"Glad Trash Bags, 4 OR 8 Gallon"
PERFECT KETO,"Perfect Keto Super Reds, online at Amazon"
BARILLA,"Barilla Pasta, select varieties, buy 2"
RAOS,Raos Frozen Pizza
VONS,Shop 2 times at Vons
BAYS,Bays English Muffins
NATUCHIPS,NatuChips Plantain Chips
DIXON,"Dixon Safety Carpenter Pencil, 10 count, at Lowes"
DOVE CHOCOLATE,"DOVE chocolate, select varieties"
BUTTERBALL,"Butterball, select varieties, spend 10 at Ralphs"
PAVILIONS,Spend 100 at Pavilions
CHEERIOS,Cheerios Oat Crunch Berry Cereal
BUTTERBALL,"Butterball, select varieties, spend 10 at Kroger"
TGI FRIDAYS,Spend 35 at TGI Fridays
VIZZY,"Coors Light, Miller Lite OR VIZZY 12 packs, buy 4"
BARILLA,"Barilla pasta, select varieties, buy 3"
SIMPLY SPIKED,"Simply Spiked Signature Peach 12-pack or larger, buy 2"
PERFECT KETO,"Perfect Keto Exogenous Ketones Powder, online at Amazon"
TOM THUMB,Spend 115 at Tom Thumb
CHOSEN FOODS,"Chosen Foods Mayo, select varieties"
SHAWS,Spend 300 at Shaws
HIDDEN VALLEY RANCH,Hidden Valley Ranch Seasoning Shaker
VONS,Spend 100 at Vons
BACK TO THE ROOTS,"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target"
GATORADE,"GATORADE Fast Twitch, 12-ounce single serve, at Kroger"
BURTS BEES,"Burts Bees Facial Wipes, select varieties, 30 count at Walmart"
RANDALLS,Spend 210 at Randalls
SIR KENSINGTONS,Sir Kensingtons Condiments
SIMPLY SPIKED,Simply Spiked 12 pack
BAI,"Bai Antioxidant, 6 pack, at Walmart"
RANDALLS,Spend 110 at Randalls
BUTTERBALL,"Butterball, select varieties, spend 10 at Pick n Save OR Metro Market"
PERFECT KETO,"Perfect Keto MCT Oil Powder, online at Amazon"
BUBBIES,"Bubbies Pickles, Sauerkraut, OR Condiments at Whole Foods or Sprouts"
ACME,Spend 250 at ACME
ALEVE,"Aleve products AND AleveX, select varieties, at Walmart"
BUTTERBALL,"Butterball, select varieties, spend 10 at Smiths"
SUPER COFFEE,"Super Coffee, 12 ounce single serve"
TOM THUMB,Shop 2 times at Tom Thumb
STAR MARKET,Spend 90 at Star Market
BUTTERBALL,"Butterball, select varieties, spend 10 at Dillons Food Store"
SARGENTO,"Sargento products, select varieties"
PERFECT KETO,"Perfect Keto Beauty  Sleep Collagen, online at Amazon"
